cloud,tree_id,method,dbh_cm,status,n_values
diego_talhao_62fixedname_round2_crop_25,0,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,0,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,0,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,1,ensemble,36.28325524229242,ok,1
diego_talhao_62fixedname_round2_crop_25,1,single_ransac,31.311255339408074,ok,0
diego_talhao_62fixedname_round2_crop_25,1,ls,28.737393647725824,ok,0
diego_talhao_62fixedname_round2_crop_25,2,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,2,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,2,ls,47.022717694114505,ok,0
diego_talhao_62fixedname_round2_crop_25,3,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,3,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,3,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,4,ensemble,107.9557316241932,ok,5
diego_talhao_62fixedname_round2_crop_25,4,single_ransac,104.58831628272065,ok,0
diego_talhao_62fixedname_round2_crop_25,4,ls,99.5881711881421,ok,0
diego_talhao_62fixedname_round2_crop_25,5,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,5,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,5,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,6,ensemble,79.12898308788621,ok,6
diego_talhao_62fixedname_round2_crop_25,6,single_ransac,30.007346795111694,ok,0
diego_talhao_62fixedname_round2_crop_25,6,ls,75.65259522445749,ok,0
diego_talhao_62fixedname_round2_crop_25,7,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,7,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,7,ls,21.034492991777267,ok,0
diego_talhao_62fixedname_round2_crop_25,8,ensemble,57.576444665111,ok,6
diego_talhao_62fixedname_round2_crop_25,8,single_ransac,47.4487529078064,ok,0
diego_talhao_62fixedname_round2_crop_25,8,ls,188.59028074984312,ok,0
diego_talhao_62fixedname_round2_crop_25,9,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,9,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,9,ls,70.44583054423047,ok,0
diego_talhao_62fixedname_round2_crop_25,10,ensemble,131.05081581198567,ok,6
diego_talhao_62fixedname_round2_crop_25,10,single_ransac,132.6652956976839,ok,0
diego_talhao_62fixedname_round2_crop_25,10,ls,137.95605990518712,ok,0
diego_talhao_62fixedname_round2_crop_25,11,ensemble,19.17949396935586,ok,1
diego_talhao_62fixedname_round2_crop_25,11,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,11,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,12,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,12,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,12,ls,58.087904205353084,ok,0
diego_talhao_62fixedname_round2_crop_25,15,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,15,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,15,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,17,ensemble,89.57404394489757,ok,3
diego_talhao_62fixedname_round2_crop_25,17,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,17,ls,78.29437658988519,ok,0
diego_talhao_62fixedname_round2_crop_25,18,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,18,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,18,ls,21.4037177359358,ok,0
diego_talhao_62fixedname_round2_crop_25,19,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,19,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,19,ls,53.431618039063636,ok,0
diego_talhao_62fixedname_round2_crop_25,20,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,20,single_ransac,38.88271419285621,ok,0
diego_talhao_62fixedname_round2_crop_25,20,ls,41.24030615286879,ok,0
diego_talhao_62fixedname_round2_crop_25,75,ensemble,53.61812289377264,ok,3
diego_talhao_62fixedname_round2_crop_25,75,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,75,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,76,ensemble,161.5468501779374,ok,1
diego_talhao_62fixedname_round2_crop_25,76,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,76,ls,175.06928385020407,ok,0
diego_talhao_62fixedname_round2_crop_25,78,ensemble,40.161169630103934,ok,1
diego_talhao_62fixedname_round2_crop_25,78,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,78,ls,45.69616104413263,ok,0
